6/1/2008,1.5,1.1,1.89,1.5,-0.18,1.26,1.8,1.44
7/1/2008,-0.36,0.55,-0.15,-0.51,-0.12,-0.47,2,4.79
8/1/2008,-2.14,-0.06,-2.53,-2.59,-0.39,-0.37,-2.64,-4.2
9/1/2008,-0.66,-0.59,-0.16,-0.07,-1.16,-0.7,-1.37,-2.48
10/1/2008,-12.26,-1.41,-5.75,-5.18,-3.49,-6.8,-6.63,-0.57
11/1/2008,-12.59,-1.83,-5.09,-5.66,-3.06,-14.04,-5.13,4.96
12/1/2008,-1.88,-40.45,-3.21,-5,-0.02,-5.6,1.54,3.22
1/1/2009,-0.98,0.41,-1.26,-2.54,1.6,-0.8,1.11,2.37
2/1/2009,5.72,1.14,0.79,-0.06,0.38,0.48,2.33,-0.56
3/1/2009,0.75,-5.61,-1.13,-1.2,0.69,1.01,0.21,-0.16
4/1/2009,1.14,1.1,0.16,0.12,1.65,1.74,0.03,-2.18
5/1/2009,4.52,1.29,1.48,1.8,0.72,1.93,0.19,-3.24
6/1/2009,5.81,3.63,4.22,4.15,1.85,4.33,1.47,0.85
7/1/2009,4.05,-0.21,1.02,1.44,0.89,1.83,-0.85,-2.32
8/1/2009,5.8,1.79,2.33,2.25,1.12,3.65,1.78,-0.43
9/1/2009,3.39,1.31,2.17,2.12,0.95,2.38,0.86,0.92
10/1/2009,3.23,0.96,2.89,3.38,1.6,2.77,2.77,2.97
11/1/2009,2.16,-0.35,0.43,0.71,0.16,1.94,0.21,-2.17
12/1/2009,0.8,0.08,2.16,2.08,1.03,1.71,3.52,4.94
1/1/2010,2.22,-0.87,2.28,2.51,0.38,0.76,-1.43,-5
2/1/2010,0.97,0.1,1.42,2.02,0.4,2.02,1.07,-3.81
3/1/2010,0.47,-1.35,0.44,0.29,0.3,0.07,1.1,1.81
4/1/2010,2.06,0.54,2.85,2.64,0.69,1.44,0.38,4.25
5/1/2010,1.69,0.43,1.89,1.69,-0.1,1.75,1.65,1.89
6/1/2010,-2.51,-3.3,-3.07,-2.5,-1.52,-0.79,-0.63,-4.03
7/1/2010,0.01,-0.99,-1.58,-1.1,0.1,0.92,0.56,0.42
8/1/2010,2.22,1.67,1.56,1.1,1.61,1.2,0.65,-1.5
9/1/2010,1.35,-1.55,-0.4,-0.64,0.31,1.24,1.48,4.87
10/1/2010,1.11,3.66,3.2,2.07,2.31,1.55,2.72,2.77
11/1/2010,1.98,0.93,1.8,1.32,-0.62,1.1,1.62,4.29
